Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
384305,9.57,-1.55,2.76,-0.05,-0.08,-0.06,fall_forward
384325,9.62,-1.56,2.83,-0.02,-0.06,-0.05,fall_forward
384345,9.52,-1.54,2.99,-0.05,-0.04,-0.05,fall_forward
384365,9.55,-1.50,2.81,-0.06,-0.05,-0.05,fall_forward
384385,9.57,-1.60,2.76,-0.04,-0.06,-0.05,fall_forward
384405,9.51,-1.60,2.79,-0.02,-0.04,-0.06,fall_forward
384425,9.61,-1.53,3.03,-0.01,-0.04,-0.06,fall_forward
384445,9.48,-1.64,2.86,-0.01,-0.04,-0.05,fall_forward
384465,9.58,-1.58,2.93,-0.01,-0.03,-0.05,fall_forward
384485,9.47,-1.61,3.00,-0.00,-0.02,-0.05,fall_forward
384505,9.59,-1.49,2.91,-0.02,-0.02,-0.05,fall_forward
384525,9.53,-1.59,2.94,-0.00,-0.04,-0.05,fall_forward
384545,9.53,-1.58,2.99,-0.01,-0.04,-0.05,fall_forward
384565,9.54,-1.46,2.89,-0.00,-0.04,-0.05,fall_forward
384585,9.57,-1.54,2.84,-0.01,-0.03,-0.05,fall_forward
384605,9.55,-1.47,2.88,-0.01,-0.02,-0.05,fall_forward
384625,9.58,-1.53,2.97,-0.01,-0.04,-0.05,fall_forward
384645,9.61,-1.51,2.86,-0.01,-0.05,-0.05,fall_forward
384665,9.58,-1.49,2.95,-0.02,-0.04,-0.04,fall_forward
384685,9.55,-1.49,2.90,-0.02,-0.05,-0.05,fall_forward
384705,9.52,-1.51,2.91,-0.02,-0.03,-0.05,fall_forward
384725,9.58,-1.48,2.91,-0.02,-0.05,-0.05,fall_forward
384745,9.65,-1.45,2.87,-0.03,-0.03,-0.04,fall_forward
384765,9.68,-1.52,2.78,-0.01,-0.00,-0.05,fall_forward
384785,9.61,-1.54,2.99,-0.02,0.00,-0.05,fall_forward
384805,9.43,-1.56,2.79,0.00,-0.00,-0.06,fall_forward
384825,9.66,-1.41,3.07,-0.01,-0.04,-0.05,fall_forward
384845,9.70,-1.38,2.82,-0.02,-0.01,-0.04,fall_forward
384865,9.49,-1.39,3.08,-0.01,-0.03,-0.05,fall_forward
384885,9.62,-1.44,2.88,-0.07,-0.02,-0.05,fall_forward
384909,9.69,-1.40,2.85,-0.01,-0.06,-0.05,fall_forward
384928,9.67,-1.42,2.82,0.02,-0.03,-0.04,fall_forward
384948,9.57,-1.32,2.89,-0.00,-0.02,-0.04,fall_forward
384968,9.67,-1.33,2.96,-0.03,-0.02,-0.04,fall_forward
384988,9.62,-1.48,2.76,-0.02,-0.02,-0.03,fall_forward
385008,9.63,-1.46,2.77,0.00,-0.02,-0.04,fall_forward
385028,9.61,-1.36,2.95,0.01,-0.01,-0.04,fall_forward
385048,9.72,-1.41,2.95,-0.01,-0.02,-0.03,fall_forward
385068,9.67,-1.40,2.74,0.00,-0.00,-0.03,fall_forward
385088,9.51,-1.34,2.94,0.01,0.00,-0.03,fall_forward
385108,9.61,-1.39,2.87,0.01,0.00,-0.04,fall_forward
385128,9.61,-1.41,2.84,0.02,-0.01,-0.03,fall_forward
385148,9.55,-1.43,2.92,0.01,-0.00,-0.03,fall_forward
385168,9.58,-1.39,2.88,0.01,-0.02,-0.03,fall_forward
385188,9.62,-1.30,2.85,0.01,-0.02,-0.03,fall_forward
385208,9.59,-1.32,2.97,0.01,-0.02,-0.03,fall_forward
385228,9.63,-1.39,2.94,0.01,-0.02,-0.03,fall_forward
385248,9.62,-1.32,2.93,-0.01,-0.02,-0.03,fall_forward
385268,9.52,-1.39,2.85,-0.01,-0.01,-0.03,fall_forward
385288,9.58,-1.44,3.00,-0.00,-0.03,-0.03,fall_forward
385308,9.52,-1.39,3.03,0.00,-0.02,-0.03,fall_forward
385328,9.57,-1.39,2.99,0.01,-0.02,-0.03,fall_forward
385348,9.58,-1.39,2.95,-0.01,-0.01,-0.02,fall_forward
385368,9.59,-1.38,2.95,-0.01,-0.01,-0.02,fall_forward
385388,9.58,-1.33,2.80,-0.01,-0.00,-0.02,fall_forward
385408,9.50,-1.47,2.86,0.02,0.01,-0.03,fall_forward
385428,9.55,-1.53,3.08,0.02,-0.03,-0.03,fall_forward
385448,9.58,-1.33,3.06,0.01,-0.04,-0.02,fall_forward
385468,9.51,-1.38,2.98,0.00,-0.05,-0.02,fall_forward
385488,9.55,-1.40,2.83,-0.02,-0.03,-0.03,fall_forward
385508,9.55,-1.47,2.90,0.00,-0.05,-0.03,fall_forward
385528,9.65,-1.49,2.85,0.01,-0.04,-0.02,fall_forward
385548,9.53,-1.40,2.91,0.01,-0.03,-0.02,fall_forward
385568,9.60,-1.34,3.09,-0.01,-0.04,-0.02,fall_forward
385588,9.58,-1.41,2.92,-0.02,-0.03,-0.02,fall_forward
385608,9.60,-1.46,3.00,0.00,-0.03,-0.03,fall_forward
385628,9.60,-1.37,3.07,-0.00,-0.02,-0.02,fall_forward
385648,9.55,-1.42,3.00,-0.02,0.00,-0.03,fall_forward
385668,9.50,-1.46,2.95,-0.01,-0.00,-0.02,fall_forward
385688,9.58,-1.36,2.90,-0.03,-0.00,-0.03,fall_forward
385708,9.57,-1.40,2.89,-0.03,0.01,-0.03,fall_forward
385728,9.51,-1.41,3.01,-0.02,-0.00,-0.03,fall_forward
385748,9.51,-1.45,3.01,-0.02,-0.01,-0.03,fall_forward
385768,9.55,-1.36,3.02,-0.03,-0.00,-0.03,fall_forward
385788,9.56,-1.41,2.97,-0.04,-0.00,-0.03,fall_forward
385808,9.67,-1.43,2.96,-0.04,0.01,-0.03,fall_forward
385832,9.58,-1.44,3.00,-0.05,0.00,-0.02,fall_forward
385851,9.66,-1.36,2.95,-0.06,-0.00,-0.03,fall_forward
385871,9.62,-1.37,3.00,-0.06,0.01,-0.03,fall_forward
385891,9.50,-1.40,2.98,-0.06,-0.01,-0.03,fall_forward
385911,9.56,-1.35,2.98,-0.06,-0.02,-0.03,fall_forward
385931,9.58,-1.37,3.06,-0.07,-0.02,-0.03,fall_forward
385951,9.56,-1.37,3.02,-0.08,-0.01,-0.03,fall_forward
385971,9.58,-1.42,2.90,-0.08,-0.00,-0.03,fall_forward
385991,9.55,-1.48,3.06,-0.08,-0.01,-0.03,fall_forward
386011,9.54,-1.51,2.96,-0.07,0.00,-0.03,fall_forward
386031,9.46,-1.58,2.83,-0.03,-0.02,-0.04,fall_forward
386051,9.54,-1.37,3.18,-0.05,-0.04,-0.04,fall_forward
386071,9.55,-1.41,2.98,-0.06,-0.05,-0.04,fall_forward
386091,9.50,-1.43,3.16,-0.10,-0.08,-0.05,fall_forward
386111,9.57,-1.54,2.80,-0.11,-0.05,-0.05,fall_forward
386131,9.56,-1.53,2.72,-0.05,-0.07,-0.05,fall_forward
386151,9.64,-1.45,3.06,-0.03,-0.04,-0.04,fall_forward
386171,9.57,-1.47,3.04,-0.04,-0.03,-0.04,fall_forward
386191,9.62,-1.38,3.10,-0.06,-0.03,-0.04,fall_forward
386211,9.59,-1.45,2.98,-0.07,-0.03,-0.04,fall_forward
386231,9.56,-1.51,2.89,-0.04,-0.04,-0.04,fall_forward
386251,9.57,-1.44,3.01,-0.04,-0.04,-0.05,fall_forward
386271,9.65,-1.52,2.94,-0.04,-0.04,-0.04,fall_forward
386291,9.60,-1.49,2.91,-0.02,-0.02,-0.03,fall_forward
386311,9.56,-1.46,3.05,-0.04,-0.00,-0.04,fall_forward
386331,9.56,-1.41,3.04,-0.06,-0.02,-0.04,fall_forward
386351,9.61,-1.50,2.86,-0.05,-0.02,-0.04,fall_forward
386371,9.51,-1.44,2.84,-0.03,-0.02,-0.04,fall_forward
386391,9.60,-1.46,2.94,-0.03,-0.03,-0.04,fall_forward
386411,9.57,-1.44,3.00,-0.05,-0.04,-0.04,fall_forward
386431,9.56,-1.51,2.79,-0.04,-0.02,-0.04,fall_forward
386451,9.56,-1.46,2.87,-0.03,-0.04,-0.04,fall_forward
386471,9.58,-1.43,2.99,-0.05,-0.04,-0.04,fall_forward
386491,9.61,-1.41,2.89,-0.06,-0.04,-0.05,fall_forward
386511,9.53,-1.50,2.94,-0.07,-0.04,-0.05,fall_forward
386531,9.53,-1.46,2.87,-0.06,-0.03,-0.05,fall_forward
386551,9.60,-1.45,2.91,-0.04,-0.04,-0.04,fall_forward
386571,9.62,-1.47,2.94,-0.05,-0.05,-0.04,fall_forward
386591,9.62,-1.51,2.85,-0.05,-0.03,-0.04,fall_forward
